text,label
"
That's might be what it takes to beat the Braves this year.  ",rec.sport.baseball
"
nsmca> So some of my ideas are a bit odd, off the wall and such, but
nsmca> so was Wilbur and Orville Wright, and quite a few others..

This is a common misconception.  There was nothing ""off the wall""
about the Wright Brothers.  They were in correspondance with a number
of other experimenters (Octave Chanute, Lillienthal, etc), they flew
models, they had a wind tunnel.  In short, they were quite mainstream
and were not regarded as odd or eccentric by the community.

I suggest you read The Bishop's Boys or the biography by Harry Gates?
Combs?  (I can never remember which it is--the guy that had the FBOs
and owned Learjet for a while).  These are both in print and easily
obtainable.  The Bishop's Boys is in trade paperback, even.

Even better would be the multi-volume set of the Wrights' writings,
but this is out of print, rare, and hideously expensive.


",sci.space
"

	Strictly from memory, I think the Phillies were something like
	ten games up with 12 to go, lost 10 in a row, and 11 of last 12
	to lose to the Cardinals. Seems impossible, but thats how I
	remember it. I also felt at the time that Johnny Callison of
	the Phillies lost the MVP as a by-product of their swoon.


					jerry",rec.sport.baseball
"----- News saved at 23 Apr 93 22:22:40 GMT
  



Well, I'm working on it, but getting a little impatient. So far, 
I've made it through Egyptian, Chinese, and Greek cultures, and
up through the Rennaisance. But so far, these insights just don't 
seem to be gelling. Perhaps it's in an appendix somewhere.",sci.space
"



I wouldn't give baserunning that much value.

The above effect is clear, but there are other effects as well.  If
Olerud hits a double, any runner on first will score; if Alomar legs an
extra base onto a hit in the gap, the runner on first may need to hold
at third.  Thus Olerud's doubles have more advancement value than
Alomar's.  (Of course, Alomar is more likely to score after hitting a
double.)

Another reason not to give too much extra value to baserunning is that
the runs created formulas work for very fast and very slow teams.  No
team in the 1950's ran much, but some teams certainly had faster players
than others.  Still, the current runs created formulas work just as well
in the 1950's for all teams.  

Bill James gives the 1955-1958 Senators as an example.  They used Harmon
Killebrew regularly as a pinch runner, and in 1957, stole 13 bases with
38 times caught stealing.  Yet they scored slightly more runs than
predicted by Runs Created.


",rec.sport.baseball
"

There are several ways in which one can choose to intrepret any 
constitutational issue :

   (a) Original intent
   (b) Subjectively intrepreted accordiong to political whims of the day.

If we use original intent as the basis for intrepreting the constitution, 
it is clear that the founding fathers intended that the individual citizen 
be allowed to bear arms similar to those used by soldiers of the day.

For references, I cite :

  - Federalist papers
  
  - ""The Embarassing Second Ammendment"", Yale Law Review, 
    Prof. Stanford Levinson [sorry, I don't have the date handy]

       Prof Levinson sought to prove that the 2nd ammendment did not
       convey an individual right, but concluded that it did, hence the 
       ""embarassing"" in his title.
 
  - Report of the Subcomittee on the Consititution, United States Sendate,
    97th Congress, Second Session February 1982.

  - U.S. vs. Verguido Urguidez (Supreme court case in recent years).  
    Although this case did not pertain to firearms, Justice Rhenquist
    notes that the term ""the people"" is a term of art conveying individual
    rights, and specifically cited several used, 2nd ammentment included,
    in his opinion.

  - Title 10, U.S. Code.  This states that all males between the ages of
    18 & 45 not part of the organized militia, and all female officers of
    the national guard are part of the unorganized militia.",talk.politics.guns
"The most current orbital elements from the NORAD two-line element sets are
carried on the Celestial BBS, (513) 427-0674, and are updated daily (when
possible).  Documentation and tracking software are also available on this
system.  As a service to the satellite user community, the most current
elements for the current shuttle mission are provided below.  The Celestial
BBS may be accessed 24 hours/day at 300, 1200, 2400, 4800, or 9600 bps using
8 data bits, 1 stop bit, no parity.

Element sets (also updated daily), shuttle elements, and some documentation
and software are also available via anonymous ftp from archive.afit.af.mil
(129.92.1.66) in the directory pub/space.

STS 56     
1 22621U 93 23  A 93105.58333333  .00090711  00000-0  25599-3 0   249
2 22621  57.0029 144.8669 0004136 304.2989 134.3206 15.92851555  1179
1993 023B  
1 22623U 93 23  B 93103.37312705  .00041032  00000-0  11888-3 0    86
2 22623  57.0000 155.1150 0004422 293.4650  66.5967 15.92653917   803",sci.space
"

So, like, what do you do during those six months to be ""active?""
My town has a similar requirement, and it's rather stupid.  Before
you can buy a handgun, you have to be an active member of a gun club.
Well, how active can you be without a gun, chief?

Most gun owners feel a check of criminal records for crimes and mental
disorders would be a very good thing -- IF it couldn't be abused by the
government.  But every time this is proposed, there is always some
trapdoor by which the government can deny your purchase EVEN IF you
are perfectly qualified to own a gun.  And we oppose this.


Since the fatal accident rate for licensed automobile drivers in the US 
is around 50 times the fatal accident rate of largely unlicensed gun
owners, I'd think twice before using this analogy.

Besides, the problem is criminal use of guns, not accidents.  (There
are about 500,000 criminal uses of guns in the US every year -- but
only 1,400 accidents.)  I don't think it's necessary to spend a lot
of energy making sure a criminal CAN shoot a gun before he gets one.

Just like the check, most gun owners feel positively about requiring
safety courses -- IF they couldn't be abused by the government.  But 
they already have!  One state doesn't hold the courses, another doesn't 
fund them, a third holds them only once a year with limited attendence 
to those with political connections.  Is this fair?


And how many of them acquire these guns from legal retail outlets?
How many are borrowed, stolen, smuggled, bought on the black market?


Some states allow ONLY open carry.  Some allow ONLY concealed carry.
Some allow both.  Some allow both, but require licenses for concealed 
carry.  All you can say is if one of these modes has a clear advantage
over another in terms of reducing crime or any other public good,
then state legislators SOMEPLACE are doing exactly the wrong thing.
Which means that they really don't have any objective reasons for 
these laws other than their preferences -- a bad way to govern.


(""Hot-livered.""  I LOVE that expression.  Here, we say ""hot-headed."")


Typically, the only criminals who can affect the rights of ALL the other
people are criminals in government offices.  The rest of our criminals
affect the rights of only one or a few people at a time, and they do this
during the commission of a crime.  POSSESSION of a gun by someone hurts
NO ONE else.  It is when they do something violent with that gun that
the crime occurs.  Of course, it is a crime for a felon or ex-felon to
possess a gun, but we don't feel it is right to treat common citizens
who have lived good lives as if they were just ""pre-felons"" waiting to
commit crimes.


I don't understand this sentence.


Life isn't fair.  I shouldn't need a fire extinguisher either, or
flood and theft insurance, or to lock the doors of my house and car.
But pining for a better world won't do anything to address what I have
to do to live in this one.


None of ours, I'm sure.


Frankly, I'm not sure I know what good a driver's license does anyone,
either.  The people who drive safely never use it, and the people who 
drive drunk, drive without it!

However, a car is a good tool, but not one that protects my right to life.
I rank the right to life somewhere north of the right to travel freely.


The question is not whether or not you want to own guns personally.  It's
whether or not you think that ALL people should be forced to do as you do.
I don't have any problem with someone who says they would never own a gun.
I do have a problem with someone who says I should be prevented from owning
one, too.
-- ",talk.politics.guns
"Can anyone tell me where I might find stereo images of planetary and
planetary satellite surfaces?  GIFs preferred, but any will do.  I'm
especially interested in stereos of the surfaces of Phobos, Deimos, Mars
and the Moon (in that order).
  Thanks. 
",sci.space
"Here is a press release from the White House.

 President Clinton's Remarks On Waco With Q/A
 To: National Desk
 Contact: White House Office of the Press Secretary, 202-456-2100

   WASHINGTON, April 20 -- Following are remarks by President 
Clinton in a question and answer session with the press:

1:36 P.M. EDT

     THE PRESIDENT:  On February the 28th, four federal
agents were killed in the line of duty trying to enforce the law
against the Branch Davidian compound, which had illegally stockpiled
weaponry and ammunition, and placed innocent children at risk.
Because the BATF operation had failed to meet its objective, a 51-day
standoff ensued.

     The Federal Bureau of Investigation then made every
reasonable effort to bring this perilous situation to an end without
bloodshed and further loss of life.  The Bureau's efforts were
ultimately unavailing because the individual with whom they were
dealing, David Koresh, was dangerous, irrational, and probably
insane.

     He engaged in numerous activities which violated both
federal law and common standards of decency.  He was, moreover,
responsible for the deaths and injuries which occurred during the
action against the compound in February.  Given his inclination
towards violence and in an effort to protect his young hostages, no
provocative actions were taken for more than seven weeks by federal
agents against the compound.

     This weekend I was briefed by Attorney General Reno on
an operation prepared by the FBI, designed to increase pressure on
Koresh and persuade those in the compound to surrender peacefully.
The plan included a decision to withhold the use of ammunition, even
in the face of fire, and instead to use tear gas that would not cause
permanent harm to health, but would, it was hoped, force the people
in the compound to come outside and to surrender.

     I was informed of the plan to end the siege.  I
discussed it with Attorney General Reno.  I asked the questions I
thought it was appropriate for me to ask.  I then told her to do what
she thought was right, and I take full responsibility for the
implementation of the decision.

     Yesterday's action ended in a horrible human tragedy.
Mr. Koresh's response to the demands for his surrender by federal
agents was to destroy himself and murder the children who were his
captives, as well as all the other people who were there who did not
survive.  He killed those he controlled, and he bears ultimate
responsibility for the carnage that ensued.

     Now we must review the past with an eye towards the
future.  I have directed the United Stated Departments of Justice and
Treasury to undertake a vigorous and thorough investigation to
uncover what happened and why, and whether anything could have been
dne differently.  I have told the departments to involve independent
professional law enforcement officials in the investigation.  I
expect to receive analysis and answers in whatever time is required
to complete the review.  Finally, I have directed the departments to
cooperate fully with all congressional inquiries so that we can
continue to be fully accountable to the American people.

     I want to express my appreciation to the Attorney
General, to the Justice Department, and to the federal agents on the
front lines who did the best job they could under deeply difficult
circumstances.

     Again, I want to say as I did yesterday, I am very sorry
for the loss of life which occurred at the beginning and at the end
of this tragedy in Waco.  I hope very much that others who will be
tempted to join cults and to become involved with people like David
Koresh will be deterred by the horrible scenes they have seen over
the last seven weeks.  And I hope very much that the difficult
situations which federal agents confronted there and which they will
be doubtless required to confront in other contexts in the future
will be somewhat better handled and better understood because of what
has been learned now.

     Q  Mr. President, can you, first of all, tell us why,
after 51 days, you decided --

     Q  Mr. President, can you describe for us what it is
that Janet Reno outlined to you in your 15-minute phone conversation
with --

     THE PRESIDENT:  I can't hear you both.  If one will go
first and then the other.

     Q  Sorry.  Can you describe what Janet Reno --

     Q  Mr. President --

     THE PRESIDENT:  I'll answer both your questions, but I
can't do it at once.

     Q  Can you describe what she told you on Sunday about
the nature of the operation and how much detail you knew about it?

     THE PRESIDENT:  Yes.  I was told by the Attorney General
that the FBI strongly felt that the time had come to take another
step in trying to dislodge the people in the compound.  And she
described generally what the operation would be -- that they wanted
to go in and use tear gas which had been tested not to cause
permanent damage to adults or to children, but which would make it
very difficult for people to stay inside the building.  And it was
hoped that the tear gas would permit them to come outside.

     I was further told that under no circumstances would our
people fire any shots at them even if fired upon.  They were going to
shoot the tear gas from armored vehicles which would protect them and
there would be no exchange of fire.  In fact, as you know, an awful
lot of shots were fired by the cult members at the federal officials.
There were no shots coming back from the government side.

     I asked a number of questions.  The first question I
asked is, why now?  We have waited seven weeks; why now?  The reasons
I was given were the following:

     Number one, that there was a limit to how long the
federal authorities could maintain with their limited resources the
quality and intensity of coverage by experts there.  They might be
needed in other parts of the country.

     Number two, that the people who had reviewed this had
never seen a case quite like this one before, and they were convinced
that no progress had been made recently and no progress was going to
be made through the normal means of getting Koresh and the other cult
members to come out.

     Number three, that the danger of their doing something
to themselves or to others was likely to increase, not decrease, with
the passage of time.

     And number four, that they had reason to believe that
the children who were still inside the compound were being abused
significantly, as well as being forced to live in unsanitary and
unsafe conditions.

     So for those reasons, they wanted to move at that time.
The second question I asked the Attorney General is whether they had
given consideration to all of the things that could go wrong and
evaluated them against what might happen that was good.  She said
that the FBI personnel on the scene and those working with them were
convinced that the chances of bad things happening would only
increase with the passage of time.

     The third question I asked was, has the military been
consulted?  As soon as the initial tragedy came to light in Waco,
that's the first thing I asked to be done, because it was obvious
that this was not a typical law enforcement situation.  Military
people were then brought in, helped to analyze the situation and some
of the problems that were presented by it.   And so I asked if the
military had been consulted.  The Attorney General said that they
had, and that they were in basic agreement that there was only one
minor tactical difference of opinion between the FBI and the military
-- something that both sides thought was not of overwhelming
significance.

     Having asked those questions and gotten those answers, I
said that if she thought it was the right thing to do, that she
should proceed and that I would support it.  And I stand by that
today.

     Q  Mr. President --

     THE PRESIDENT:  Wait.  Go ahead.

     Q  Can you address the widespread perception --
reported widely, television, radio and newspapers -- that you were
trying somehow to distance yourself from this disaster?

     THE PRESIDENT:  No, I'm bewildered by it.  The only
reason I made no public statement yesterday -- let me say -- the only
reason I made no public statement yesterday is that I had nothing to
add to what was being said and I literally did not know until rather
late in the day whether anybody was still alive other than those who
had been actually seen and taken to the hospital or taken into
custody.  It was purely and simply a question of waiting for events
to unfold.

     There was -- I have -- I can't account for why people
speculated one way or the other, but I talked to the Attorney General
on the day before the action took place.  I talked to her yesterday.
I called her again late last night after she appeared on the Larry
King Show, and I talked to her again this morning.  A President -- it
is not possible for a President to distance himself from things that
happen when the federal government is in control.

     I will say this, however.  I was, frankly, surprised
would be a mild word, to say that anyone that would suggest that the
Attorney General should resign because some religious fanatics
murdered themselves.  (Applause.)

     I regret what happened, but it is not possible in this
life to control the behavior of others in every circumstance.  These
people killed four federal officials in the line of duty.  They were
heavily armed.  They fired on federal officials yesterday repeatedly,
and they were never fired back on.  We did everything we could to
avoid the loss of life.  They made the decision to immolate
themselves.  And I regret it terribly, and I feel awful about the
children.

     But in the end, the last comment I had from Janet Reno,
is when -- and I talked to her on Sunday -- I said, now, I want you
to tell me once more why you believe -- not why they believe -- why
you believe we should move now rather than wait some more.  And she
said, it's because of the children.  They have evidence that those
children are still being abused and that they're in increasingly
unsafe conditions, and that they don't think it will get any easier
with time -- with the passage of time.  I have to take their word for
that.  So that is where I think things stand.

     Q  Can we assume then that you don't think this was
mishandled in view of the outcome, that you didn't run out of
patience?  And if you had it to do over again, would you really
decide that way?

     THE PRESIDENT:  No -- well, I think what you can assume
is just exactly what I announced today.  This is a -- the FBI has
done a lot of things right for this country over a long period of
time.  This is the same FBI that found the people that bombed the
World Trade Center in lickety-split, record time.  We want an inquiry
to analyze the steps along the way.  Is there something else we
should have known?  Is there some other question they should have
asked?  Is there some other question I should have asked?  Can I say
for sure that no one -- that we could have done nothing else to make
the outcome come different?  I don't know that.  That's why I want
the inquiry and that's why I would like to make sure that we have
some independent law enforcement people, not political people, but
totally non-political, outside experts who can bring to bear the best
evidence we have.

     There is, unfortunately, a rise in this sort of
fanaticism all across the world.  And we may have to confront it
again.  And I want to know whether there is anything we can do,
particularly when there are children involved.  But I do think it is
important to recognize that the wrong-doers in this case were the
people who killed others and then killed themselves.

     Q  Mr. President, were there any other options
presented to you for resolving this situation at any point from
February 28th until yesterday?

     THE PRESIDENT:  Well, yes, I got regular reports all
along the way.  There were lots of other options pursued.  If you go
back -- you all covered it very well.  The FBI -- you did a very good
job of it.  I mean, the FBI and the other authorities there pursued
any number of other options all along the way, and a lot of them
early on seemed to be working.  Some of the children got out, some of
the other people left.  There was a -- at one point, there seemed to
be some lines of communication opening up between Koresh and the
authorities.  And then he would say things and not do them and things
just began to spin downward.

     Whether there were other -- in terms of what happened
yesterday, the conversation I had with the Attorney General did not
involve other options except whether we should take more time with
the present strategy we were pursuing -- because they said they
wanted to do this, because they thought this was the best way to get
people out of the compound quickly before they could kill themselves.
That's what they thought.

     Q  Did the government know that the children did not
have gas masks?

     Q     congressional hearings once the situation -- are
you in agreement with that?

     THE PRESIDENT:  That's up to the Congress.  They can do
whatever they want.  But I think it's very important that the
Treasury and Justice Departments launch this investigation and bring
in some outside experts.  And as I said in my statement, if any
congressional committees want to look into it, we will fully
cooperate.  There is nothing to hide here.  This was probably the
most well-covered operation of its kind in the history of the
country.",talk.politics.guns
" I don't

Well, no problem!  But I get pretty annoyed when they swing at non-strikes
and make outs.  Especially ball four on the 3-2 counts...

Dave",rec.sport.baseball
"




The HGA isn't all that reflective in the wavelengths that might ""cook the
focal elements"", nor is its figure good on those scales--the problem is
that the antenna _itself_ could not be exposed to Venus-level sunlight,
lest like Icarus' wings it melt.  (I think it was glues and such, as well
as electronics, that they were worried about.)  Thus it had to remain
furled and the axis _always_ pointed near the sun, so that the small
sunshade at the tip of the antenna mast would shadow the folded HGA.
(A larger sunshade beneath the antenna shielded the spacecraft bus.)",sci.space
"gassed.

But apparently true.  My opinion, only, of course.


No, it is not.  It is possible the FBI planned for this to happen, and the  
gunfire heard was the FBI keeping the folks inside.  I'm not proposing this as  
the way it went down, but just to point out that it's not ""undeniable"" that if  
they walked out yesterday, they would be alive today.


My heart ""bleeds"" for no one.  You are the ""bleeding heart"".  And I'm sure  
beyond any possible doubt that you do not feel for those people as I do.  You  
can not say the heartless things you have said if you did.


""they got what they wanted"".  What kind of creature are you that you can  
believe this?

We agree on this.  Now lets have your God, the FBI, investigated, too.

-
rethought  
landed  

Jim
--
jmd@handheld.com",talk.politics.guns
"
All they said on the radio that he developed stiffness in the shoulder
after throwing a curveball that didn't loosen.  Because of the cold
night in Denver they decided to remove him from the game rather than
let him pitch.  He is expected to pitch his next turn in the rotation
(expected to be April 20, at Shea vs the Giants).",rec.sport.baseball
"


Thanks again.  One final question.  The name Gehrels wasn't known to
me before this thread came up, but the May issue of Scientific American
has an article about the ""Inconstant Cosmos"", with a photo of Neil
Gehrels, project scientist for NASA's Compton Gamma Ray Observatory.
Same person?
-- 
Mark Brader, SoftQuad Inc., Toronto	""Information! ... We want information!""
utzoo!sq!msb, msb@sq.com				-- The Prisoner",sci.space
"

In the latest case in Denver, they were giving away tickets to a Denver
Nuggets basketball game. 

How traceable is a money order?  (I don't know. Haven't used one in 20 years)

Is that even an issue if the weapons aren't checked for being stolen?",talk.politics.guns
